citation,topic,habitat_type,habitat_subtype,habitat_depth,assemblage_type,species_name_scientific,species_name_common,geographic_region,ecological_fitness_metric,climate_effect,mpa_effect,analytical method,name_of_mpa,Coordinates,Latitude,Longitude,magnitude,mechanism
"Balemi, Celia A., and Nick T. Shears. ""Emergence of the subtropical sea urchin Centrostephanus rodgersii as a threat to kelp forest ecosystems in northern New Zealand."" Frontiers in Marine Science 10 (2023): 1224067.",species,na,kelp_forest,,na,Evechinus chloroticus,endemic sea urchin,temperate_autralasia,density,mortality,positive_ecosystem,inside/outside study,Poor Knights Islands Marine Reserve,"-35.723588, 174.937622",-35.723588,174.937622,,urchin barrens reversed via high top-down control (predation)
"Barrientos, S., Barreiro, R., & Piñeiro-Corbeira, C. (2022). Paradoxical failure of Laminaria ochroleuca (Laminariales, Phaeophyceae) to consolidate a kelp forest inside a Marine National Park. European Journal of Phycology, 58(1), 72–82. https://doi.org/10.1080/09670262.2022.2065365",species,temperate,kelp_forest,,na,Laminaria ochroleuca,brown kelp,temperate_northern_atlantic,abundance,habitat_formation,negative_population,inside/outside study,Islas Atlánticas National Park,"42.364625266651984, -8.862964004645713",42.36462527,-8.862964005,,"Populations outside the MPA were the typical canopy forests expected for a perennial kelp, stable year-round and composed mostly of adults. Inside the MPA, however, grazing prevented the canopy phase from being reached."
"Barrientos, S., Barreiro, R., & Piñeiro-Corbeira, C. (2022). Paradoxical failure of Laminaria ochroleuca (Laminariales, Phaeophyceae) to consolidate a kelp forest inside a Marine National Park. European Journal of Phycology, 58(1), 72–82. https://doi.org/10.1080/09670262.2022.2065365",species,temperate,kelp_forest,,na,Laminaria ochroleuca,brown kelp,temperate_northern_atlantic,biomass,habitat_formation,negative_population,inside/outside study,Islas Atlánticas National Park,"42.364625266651984, -8.862964004645713",42.36462527,-8.862964005,,
"Barrientos, S., Barreiro, R., & Piñeiro-Corbeira, C. (2022). Paradoxical failure of Laminaria ochroleuca (Laminariales, Phaeophyceae) to consolidate a kelp forest inside a Marine National Park. European Journal of Phycology, 58(1), 72–82. https://doi.org/10.1080/09670262.2022.2065365",species,temperate,kelp_forest,,na,Laminaria ochroleuca,brown kelp,temperate_northern_atlantic,benthic_cover,habitat_formation,negative_population,inside/outside study,Islas Atlánticas National Park,"42.364625266651984, -8.862964004645713",42.36462527,-8.862964005,,
"Bates, Amanda E., et al. ""Biological interactions both facilitate and resist climate-related functional change in temperate reef communities."" Proceedings of the Royal Society B: Biological Sciences 284.1856 (2017): 20170484.",assemblage,temperate,rocky_reef,,cool-water_macroalgae,na,na,temperate_autralasia,abundance,habitat_formation,positive_ecosystem,inside/outside study,Maria Island Marine Reserve,"-42.59074268063579, 147.99990955605392",-42.59074268,147.9999096,,
"Bates, Amanda E., et al. ""Biological interactions both facilitate and resist climate-related functional change in temperate reef communities."" Proceedings of the Royal Society B: Biological Sciences 284.1856 (2017): 20170484.",assemblage,temperate,rocky_reef,,cool-water_invertebrates,na,na,temperate_autralasia,abundance,mortality,positive_ecosystem,inside/outside study,Maria Island Marine Reserve,"-42.59074268063579, 147.99990955605392",-42.59074268,147.9999096,,
"Bates, Amanda E., et al. ""Biological interactions both facilitate and resist climate-related functional change in temperate reef communities."" Proceedings of the Royal Society B: Biological Sciences 284.1856 (2017): 20170484.",assemblage,temperate,rocky_reef,,cool-water_fish,na,na,temperate_autralasia,abundance,mortality,positive_ecosystem,inside/outside study,Maria Island Marine Reserve,"-42.59074268063579, 147.99990955605392",-42.59074268,147.9999096,,
"Bates, Amanda E., et al. ""Biological interactions both facilitate and resist climate-related functional change in temperate reef communities."" Proceedings of the Royal Society B: Biological Sciences 284.1856 (2017): 20170484.",assemblage,temperate,rocky_reef,,sessile_invertebrates,na,na,temperate_autralasia,richness,mortality,negative_ecosystem,inside/outside study,Maria Island Marine Reserve,"-42.59074268063579, 147.99990955605392",-42.59074268,147.9999096,,
"Bates, Amanda E., et al. ""Biological interactions both facilitate and resist climate-related functional change in temperate reef communities."" Proceedings of the Royal Society B: Biological Sciences 284.1856 (2017): 20170484.",assemblage,temperate,rocky_reef,,sessile_invertebrates,na,na,temperate_autralasia,abundance,mortality,negative_ecosystem,inside/outside study,Maria Island Marine Reserve,"-42.59074268063579, 147.99990955605392",-42.59074268,147.9999096,,
"Bates, Amanda E., et al. ""Biological interactions both facilitate and resist climate-related functional change in temperate reef communities."" Proceedings of the Royal Society B: Biological Sciences 284.1856 (2017): 20170484.",assemblage,temperate,rocky_reef,,piscivorous_fish,na,na,temperate_autralasia,abundance,mortality,positive_ecosystem,inside/outside study,Maria Island Marine Reserve,"-42.59074268063579, 147.99990955605392",-42.59074268,147.9999096,,likely due to higher predator population
"Bates, Amanda E., et al. ""Biological interactions both facilitate and resist climate-related functional change in temperate reef communities."" Proceedings of the Royal Society B: Biological Sciences 284.1856 (2017): 20170484.",assemblage,temperate,rocky_reef,,mobile_invertebrates,na,na,temperate_autralasia,richness,mortality,negative_ecosystem,inside/outside study,Maria Island Marine Reserve,"-42.59074268063579, 147.99990955605392",-42.59074268,147.9999096,,
"Bates, Amanda E., et al. ""Biological interactions both facilitate and resist climate-related functional change in temperate reef communities."" Proceedings of the Royal Society B: Biological Sciences 284.1856 (2017): 20170484.",assemblage,temperate,rocky_reef,,mobile_invertebrates,na,na,temperate_autralasia,abundance,mortality,negative_ecosystem,inside/outside study,Maria Island Marine Reserve,"-42.59074268063579, 147.99990955605392",-42.59074268,147.9999096,,
"Bates, Amanda E., et al. ""Biological interactions both facilitate and resist climate-related functional change in temperate reef communities."" Proceedings of the Royal Society B: Biological Sciences 284.1856 (2017): 20170484.",assemblage,temperate,rocky_reef,,herbivorous_fish,na,na,temperate_autralasia,abundance,mortality,no_effect,inside/outside study,Maria Island Marine Reserve,"-42.59074268063579, 147.99990955605392",-42.59074268,147.9999096,,
"Bates, Amanda E., et al. ""Biological interactions both facilitate and resist climate-related functional change in temperate reef communities."" Proceedings of the Royal Society B: Biological Sciences 284.1856 (2017): 20170484.",assemblage,temperate,rocky_reef,,planktivores,na,na,temperate_autralasia,abundance,mortality,no_effect,inside/outside study,Maria Island Marine Reserve,"-42.59074268063579, 147.99990955605392",-42.59074268,147.9999096,,
"Bates, Amanda E., et al. ""Biological interactions both facilitate and resist climate-related functional change in temperate reef communities."" Proceedings of the Royal Society B: Biological Sciences 284.1856 (2017): 20170484.",assemblage,temperate,rocky_reef,,benthic_invertivore,na,na,temperate_autralasia,abundance,mortality,no_effect,inside/outside study,Maria Island Marine Reserve,"-42.59074268063579, 147.99990955605392",-42.59074268,147.9999096,,
"Bates, Amanda E., et al. ""Resilience and signatures of tropicalization in protected reef fish communities."" Nature Climate Change 4.1 (2014): 62-67.",assemblage,temperate,shallow_reef,,all_fish,na,na,temperate_autralasia,abundance-weighted_species_diversity,mortality,positive_ecosystem,inside/outside study,Maria Island Marine Reserve,"-42.59074268063579, 147.99990955605392",-42.59074268,147.9999096,"reserve and reference sites had similar values, but reserve sites had signfiicantly lower year-to-year changes","not due to higher richness or diversity, becuase it's not higher. could be due to community shift away from small, abundant fish species to larger, less abundant fish"
"Bates, Amanda E., et al. ""Resilience and signatures of tropicalization in protected reef fish communities."" Nature Climate Change 4.1 (2014): 62-67.",assemblage,temperate,shallow_reef,,all_fish,na,na,temperate_autralasia,biomass-weighted_species_diversity,body_size,positive_ecosystem,inside/outside study,Maria Island Marine Reserve,"-42.59074268063579, 147.99990955605392",-42.59074268,147.9999096,"reserve and reference sites had similar values, but reserve sites had signfiicantly lower year-to-year changes","not due to higher richness or diversity, becuase it's not higher. could be due to community shift away from small, abundant fish species to larger, less abundant fish"
"Bates, Amanda E., et al. ""Resilience and signatures of tropicalization in protected reef fish communities."" Nature Climate Change 4.1 (2014): 62-67.",assemblage,temperate,shallow_reef,,all_fish,na,na,temperate_autralasia,abundance-weighted_functional_diversity,mortality,positive_ecosystem,inside/outside study,Maria Island Marine Reserve,"-42.59074268063579, 147.99990955605392",-42.59074268,147.9999096,"reserve and reference sites had similar values, but reserve sites had signfiicantly lower year-to-year changes","not due to higher richness or diversity, becuase it's not higher. could be due to community shift away from small, abundant fish species to larger, less abundant fish"
"Bates, Amanda E., et al. ""Resilience and signatures of tropicalization in protected reef fish communities."" Nature Climate Change 4.1 (2014): 62-67.",assemblage,temperate,shallow_reef,,all_fish,na,na,temperate_autralasia,biomass-weighted_functional_diversity,body_size,positive_ecosystem,inside/outside study,Maria Island Marine Reserve,"-42.59074268063579, 147.99990955605392",-42.59074268,147.9999096,"reserve and reference sites had similar values, but reserve sites had signfiicantly lower year-to-year changes","not due to higher richness or diversity, becuase it's not higher. could be due to community shift away from small, abundant fish species to larger, less abundant fish"
"Bates, Amanda E., et al. ""Resilience and signatures of tropicalization in protected reef fish communities."" Nature Climate Change 4.1 (2014): 62-67.",assemblage,temperate,shallow_reef,,all_fish,na,na,temperate_autralasia,mean_species_richness,mortality,no_effect,inside/outside study,Maria Island Marine Reserve,"-42.59074268063579, 147.99990955605392",-42.59074268,147.9999096,mean species richness was slightly higher in the reserve but not statistically significantly,
"Bates, Amanda E., et al. ""Resilience and signatures of tropicalization in protected reef fish communities."" Nature Climate Change 4.1 (2014): 62-67.",assemblage,temperate,shallow_reef,,all_fish,na,na,temperate_autralasia,functional_richness,mortality,no_effect,inside/outside study,Maria Island Marine Reserve,"-42.59074268063579, 147.99990955605392",-42.59074268,147.9999096,functional richness was slightly higher in the reserve but not statistically significantly,
"Bates, Amanda E., et al. ""Resilience and signatures of tropicalization in protected reef fish communities."" Nature Climate Change 4.1 (2014): 62-67.",assemblage,temperate,shallow_reef,,all_fish,na,na,temperate_autralasia,proportion_herbivores,mortality,no_effect,inside/outside study,Maria Island Marine Reserve,"-42.59074268063579, 147.99990955605392",-42.59074268,147.9999096,,
"Bates, Amanda E., et al. ""Resilience and signatures of tropicalization in protected reef fish communities."" Nature Climate Change 4.1 (2014): 62-67.",assemblage,temperate,shallow_reef,,all_fish,na,na,temperate_autralasia,maximum_length,body_size,positive_ecosystem,inside/outside study,Maria Island Marine Reserve,"-42.59074268063579, 147.99990955605392",-42.59074268,147.9999096,,
"Bates, Amanda E., et al. ""Resilience and signatures of tropicalization in protected reef fish communities."" Nature Climate Change 4.1 (2014): 62-67.",assemblage,temperate,shallow_reef,,all_fish,na,na,temperate_autralasia,community_structure,movement_range,positive_ecosystem,inside/outside study,Maria Island Marine Reserve,"-42.59074268063579, 147.99990955605392",-42.59074268,147.9999096,,more warm-water species in reference sites as compared to reserve sites
"Benedetti-Cecchi, Lisandro, et al. ""Marine protected areas promote stability of reef fish communities under climate warming."" Nature Communications 15.1 (2024): 1822.",community,na,na,,all_fish,na,na,global,alpha_stability,mortality,positive_ecosystem,inside/outside study,global,NA,NA,,,
"Benedetti-Cecchi, Lisandro, et al. ""Marine protected areas promote stability of reef fish communities under climate warming."" Nature Communications 15.1 (2024): 1822.",community,na,na,,all_fish,na,na,global,species_stability,mortality,positive_ecosystem,inside/outside study,global,NA,NA,,,"Changes in species stability are driven by changes in mean fish abundance, not driven by standard deviation"
"Benedetti-Cecchi, Lisandro, et al. ""Marine protected areas promote stability of reef fish communities under climate warming."" Nature Communications 15.1 (2024): 1822.",community,na,na,,all_fish,na,na,global,species_asynchrony,mortality,positive_ecosystem,inside/outside study,global,NA,NA,,,
"Benedetti-Cecchi, Lisandro, et al. ""Marine protected areas promote stability of reef fish communities under climate warming."" Nature Communications 15.1 (2024): 1822.",community,na,na,,all_fish,na,na,global,functional_richness,mortality,positive_ecosystem,inside/outside study,global,NA,NA,,,"Functional richness was positively associated with species stability in MPAs and open areas and negatively associated with alpha stability and species asynchrony in open areas (Supplementary Fig. 1, Supplementary Table 1)."
"Benedetti-Cecchi, Lisandro, et al. ""Marine protected areas promote stability of reef fish communities under climate warming."" Nature Communications 15.1 (2024): 1822.",assemblage,na,na,,thermally_resistant_carnivores,na,na,global,abundance,mortality,positive_ecosystem,inside/outside study,global,NA,NA,,,"""When considering species with STIs above the threshold, all trophic groups showed a peak in abundance at intermediate to high intensities of MHWs in MPAs, but not in open areas (Fig. 4,SupplementaryTable4)."""
"Benedetti-Cecchi, Lisandro, et al. ""Marine protected areas promote stability of reef fish communities under climate warming."" Nature Communications 15.1 (2024): 1822.",assemblage,na,na,,thermally_resistant_grazers,na,na,global,abundance,mortality,positive_ecosystem,inside/outside study,global,NA,NA,,,
"Benedetti-Cecchi, Lisandro, et al. ""Marine protected areas promote stability of reef fish communities under climate warming."" Nature Communications 15.1 (2024): 1822.",assemblage,na,na,,thermally_resistant_microphages,na,na,global,abundance,mortality,positive_ecosystem,inside/outside study,global,NA,NA,,,
"Benedetti-Cecchi, Lisandro, et al. ""Marine protected areas promote stability of reef fish communities under climate warming."" Nature Communications 15.1 (2024): 1822.",assemblage,na,na,,thermally_resistant_planktivores,na,na,global,abundance,mortality,positive_ecosystem,inside/outside study,global,NA,NA,,,
"Benedetti-Cecchi, Lisandro, et al. ""Marine protected areas promote stability of reef fish communities under climate warming."" Nature Communications 15.1 (2024): 1822.",assemblage,na,na,,thermally_sensitive_carnivores,na,na,global,abundance,mortality,positive_ecosystem,inside/outside study,global,NA,NA,,weakly related to protection during heatwaves,
"Benedetti-Cecchi, Lisandro, et al. ""Marine protected areas promote stability of reef fish communities under climate warming."" Nature Communications 15.1 (2024): 1822.",assemblage,na,na,,thermally_sensitive_grazers,na,na,global,abundance,mortality,no_effect,inside/outside study,global,NA,NA,,increased regardless of protection,
"Benedetti-Cecchi, Lisandro, et al. ""Marine protected areas promote stability of reef fish communities under climate warming."" Nature Communications 15.1 (2024): 1822.",assemblage,na,na,,thermally_sensitive_microphages,na,na,global,abundance,mortality,no_effect,inside/outside study,global,NA,NA,,increased regardless of protection,
"Benedetti-Cecchi, Lisandro, et al. ""Marine protected areas promote stability of reef fish communities under climate warming."" Nature Communications 15.1 (2024): 1822.",assemblage,na,na,,thermally_sensitive_planktivores,na,na,global,abundance,mortality,positive_ecosystem,inside/outside study,global,NA,NA,,weakly related to protection during heatwaves,
"Benedetti-Cecchi, Lisandro, et al. ""Marine protected areas promote stability of reef fish communities under climate warming."" Nature Communications 15.1 (2024): 1822.",metacommunity,na,na,,all_fish,na,na,global,stability,reproduction,no_effect,inside/outside study,global,NA,NA,,,reproduction because studying connectivity between sites
"Benedetti-Cecchi, Lisandro, et al. ""Marine protected areas promote stability of reef fish communities under climate warming."" Nature Communications 15.1 (2024): 1822.",metacommunity,na,na,,all_fish,na,na,global,asynchrony,reproduction,no_effect,inside/outside study,global,NA,NA,,,reproduction because studying connectivity between sites
"Carassou, L., Léopold, M., Guillemot, N., Wantiez, L., & Kulbicki, M. (2013). Does herbivorous fish protection really improve coral reef resilience? A case study from New Caledonia (South Pacific). PLoS One, 8(4), e60564.",assemblage,na,na,,target_herbivores,na,na,central_indo_pacific,biomass,mortality,no_effect,inside/outside study,New Caldonia,"-21.024133627236676, 165.8488177756057",-21.02413363,165.8488178,,
"Carassou, L., Léopold, M., Guillemot, N., Wantiez, L., & Kulbicki, M. (2013). Does herbivorous fish protection really improve coral reef resilience? A case study from New Caledonia (South Pacific). PLoS One, 8(4), e60564.",assemblage,na,na,,target_herbivores,na,na,central_indo_pacific,density,mortality,no_effect,inside/outside study,New Caldonia,"-21.024133627236676, 165.8488177756057",-21.02413363,165.8488178,,
"Carassou, L., Léopold, M., Guillemot, N., Wantiez, L., & Kulbicki, M. (2013). Does herbivorous fish protection really improve coral reef resilience? A case study from New Caledonia (South Pacific). PLoS One, 8(4), e60564.",assemblage,na,na,,target_herbivores,na,na,central_indo_pacific,diversity,mortality,no_effect,inside/outside study,New Caldonia,"-21.024133627236676, 165.8488177756057",-21.02413363,165.8488178,,
"Carassou, L., Léopold, M., Guillemot, N., Wantiez, L., & Kulbicki, M. (2013). Does herbivorous fish protection really improve coral reef resilience? A case study from New Caledonia (South Pacific). PLoS One, 8(4), e60564.",assemblage,na,na,,target_herbivores,na,na,central_indo_pacific,body_size,body_size,positive_ecosystem,inside/outside study,New Caldonia,"-21.024133627236676, 165.8488177756057",-21.02413363,165.8488178,,
"Carassou, L., Léopold, M., Guillemot, N., Wantiez, L., & Kulbicki, M. (2013). Does herbivorous fish protection really improve coral reef resilience? A case study from New Caledonia (South Pacific). PLoS One, 8(4), e60564.",assemblage,na,na,,coral,na,na,central_indo_pacific,coral_cover,habitat_formation,no_effect,inside/outside study,New Caldonia,"-21.024133627236676, 165.8488177756057",-21.02413363,165.8488178,,
"Carassou, L., Léopold, M., Guillemot, N., Wantiez, L., & Kulbicki, M. (2013). Does herbivorous fish protection really improve coral reef resilience? A case study from New Caledonia (South Pacific). PLoS One, 8(4), e60564.",assemblage,na,na,,macroalgal,na,na,central_indo_pacific,macroalgal_cover,habitat_formation,positive_ecosystem,inside/outside study,New Caldonia,"-21.024133627236676, 165.8488177756057",-21.02413363,165.8488178,"Though macroalgae was less abundant in unfished areas, it macroalgal cover was not correlated with coral cover or hebivorous fish",
"Coelho, Vânia R., and Carrie Manfrino. ""Coral community decline at a remote Caribbean island: marine no‐take reserves are not enough."" Aquatic Conservation: Marine and Freshwater Ecosystems 17.7 (2007): 666-685.",assemblage,tropical,coral_reef,,hard_coral,na,na,tropical_atlantic,coral_cover,habitat_formation,no_effect,inside/outside study,Little Cayman (multiple sites),"19.685169207103808, -80.08244001688594",19.68516921,-80.08244002,,"The relative abundance of large reef builders of the genus Montastraea decreased, while that of smaller corals of the genera Agaricia and Porites increased."
"Coelho, Vânia R., and Carrie Manfrino. ""Coral community decline at a remote Caribbean island: marine no‐take reserves are not enough."" Aquatic Conservation: Marine and Freshwater Ecosystems 17.7 (2007): 666-685.",assemblage,tropical,coral_reef,,hard_coral,na,na,tropical_atlantic,disease_presence,disease_parasite,no_effect,inside/outside study,Little Cayman (multiple sites),"19.685169207103808, -80.08244001688594",19.68516921,-80.08244002,"Disease prevalence has increased over time, and at least one relatively large bleaching event (affecting 10% of the corals) took place in 2003.",
"Coelho, Vânia R., and Carrie Manfrino. ""Coral community decline at a remote Caribbean island: marine no‐take reserves are not enough."" Aquatic Conservation: Marine and Freshwater Ecosystems 17.7 (2007): 666-685.",assemblage,tropical,coral_reef,,hard_coral,na,na,tropical_atlantic,coral_bleaching,habitat_formation,no_effect,inside/outside study,Little Cayman (multiple sites),"19.685169207103808, -80.08244001688594",19.68516921,-80.08244002,,
"Darling, Emily S., Timothy R. McClanahan, and Isabelle M. Côté. ""Combined effects of two stressors on Kenyan coral reefs are additive or antagonistic, not synergistic."" Conservation Letters 3.2 (2010): 122-130.",assemblage,tropical,coral_reef,,hard_coral,na,na,western_indo_pacific,coral_cover,habitat_formation,no_effect,inside/outside study,"Malindi Marine National Park, Mombasa Marine National Park, Watamu Marine National Park","-3.6807152353806547, 39.960365483023146",-3.680715235,39.96036548,total coral cover was the same inside/outside the MPA after disturbance. recovery trajectory has been the same since the disturbance. coral cover decreased more in the MPA because it had a higher starting point,
"Denley, Danielle, Anna Metaxas, and Robert Scheibling. ""Subregional variation in cover and diversity of hard coral (Scleractinia) in the Western Province, Solomon Islands following an unprecedented global bleaching event."" Plos one 15.11 (2020): e0242153.",assemblage,tropical,coral_reef,,hard_coral,na,na,central_indo_pacific,coral_cover,habitat_formation,not_assessed,inside/outside study,Solomon Islands (multiple sites),"-8.458126682247137, 157.56385036773128",-8.458126682,157.5638504,,
"Denley, Danielle, Anna Metaxas, and Robert Scheibling. ""Subregional variation in cover and diversity of hard coral (Scleractinia) in the Western Province, Solomon Islands following an unprecedented global bleaching event."" Plos one 15.11 (2020): e0242153.",assemblage,tropical,coral_reef,,hard_coral,na,na,central_indo_pacific,richness,mortality,not_assessed,inside/outside study,Solomon Islands (multiple sites),"-8.458126682247137, 157.56385036773128",-8.458126682,157.5638504,,
"Dimitriadis, C., et al. ""Evaluating the long term effectiveness of a Mediterranean marine protected area to tackle the effects of invasive and range expanding herbivorous fish on rocky reefs."" Marine Environmental Research 193 (2024): 106293.",community,temperate,rocky_reef,,herbivorous_fish,na,na,temperate_northern_atlantic,biomass,movement_range,negative_ecosystem,inside/outside study,Zakynthos National Marine Park,"37.73537724481346, 20.908707081702183",37.73537724,20.90870708,"protection also protects invasive herbivours, proportion of invansive species increased",
"Dimitriadis, C., et al. ""Evaluating the long term effectiveness of a Mediterranean marine protected area to tackle the effects of invasive and range expanding herbivorous fish on rocky reefs."" Marine Environmental Research 193 (2024): 106293.",community,temperate,rocky_reef,,piscivorous_fish,na,na,temperate_northern_atlantic,biomass,movement_range,no_effect,inside/outside study,Zakynthos National Marine Park,"37.73537724481346, 20.908707081702183",37.73537724,20.90870708,,
"Dimitriadis, C., et al. ""Evaluating the long term effectiveness of a Mediterranean marine protected area to tackle the effects of invasive and range expanding herbivorous fish on rocky reefs."" Marine Environmental Research 193 (2024): 106293.",community,temperate,rocky_reef,,all_fish_excluding_herbivores,na,na,temperate_northern_atlantic,biomass,movement_range,no_effect,inside/outside study,Zakynthos National Marine Park,"37.73537724481346, 20.908707081702183",37.73537724,20.90870708,,
"Dimitriadis, C., et al. ""Evaluating the long term effectiveness of a Mediterranean marine protected area to tackle the effects of invasive and range expanding herbivorous fish on rocky reefs."" Marine Environmental Research 193 (2024): 106293.",community,temperate,rocky_reef,,macroalgal,na,na,temperate_northern_atlantic,benthic_cover,habitat_formation,no_effect,inside/outside study,Zakynthos National Marine Park,"37.73537724481346, 20.908707081702183",37.73537724,20.90870708,,
"Dolorosa, Roger Gasper, et al. ""Impact of Super Typhoon Odette on the Reefs of Northeastern Palawan, Philippines."" Journal of Fisheries & Environment 47.1 (2023).",assemblage,tropical,coral_reef,,hard_coral,na,na,central_indo_pacific,coral_cover,habitat_formation,positive_ecosystem,inside/outside study,"Hart Reef MPA, Baby Hart Reef, Dalarat MPA, Salvacion MPA, Black Rock Reef MPA","10.736286463796985, 119.77795512534351",10.73628646,119.7779551,,
"Dolorosa, Roger Gasper, et al. ""Impact of Super Typhoon Odette on the Reefs of Northeastern Palawan, Philippines."" Journal of Fisheries & Environment 47.1 (2023).",assemblage,tropical,coral_reef,,na,na,butterfly fishes,central_indo_pacific,abundance,mortality,negative_ecosystem,inside/outside study,"Hart Reef MPA, Baby Hart Reef, Dalarat MPA, Salvacion MPA, Black Rock Reef MPA","10.736286463796985, 119.77795512534351",10.73628646,119.7779551,,
"Dolorosa, Roger Gasper, et al. ""Impact of Super Typhoon Odette on the Reefs of Northeastern Palawan, Philippines."" Journal of Fisheries & Environment 47.1 (2023).",assemblage,tropical,coral_reef,,na,na,butterfly fishes,central_indo_pacific,density,mortality,no_effect,inside/outside study,"Hart Reef MPA, Baby Hart Reef, Dalarat MPA, Salvacion MPA, Black Rock Reef MPA","10.736286463796985, 119.77795512534351",10.73628646,119.7779551,,
